Date:,Start Time:,Location:,Future Show/Studio (Y/N),Meals Ate: ,Instrument Practiced: ,Duration (hr),Hours on Campus
2025-4-11,1830,Studio,Y,2,Drums,2,3
2025-4-16,1600,Home,N,1,Guitar,0.75,5
2025-4-20,1630,Home,N,2,Guitar,0.5,0
2025-4-21,1900,Home,N,2,Bass,1,3.5
2025-4-22,1700,Home,Y,2,Drums,1,4.5
2025-4-24,1900,Studio,Y,3,Drums,3.25,8
2025-4-27,1200,Home,N,1,Guitar,0.7,0
2025-4-29,1730,Home,Y,2,Bass,0.33,4
2025-5-2,1800,Studio,Y,3,Drums,2.33,0
2025-5-2,2200,Home,N,3,Bass,1,0
2025-5-4,2130,Home,N,2,Guitar,0.75,0
2025-5-6,1800,Home,N,2,Guitar,0.33,6
2025-5-7,1400,Home ,N,1,Guitar,0.5,3
2025-5-10,1630,Studio,Y,2,Drums,1.33,0
2025-5-12,1800,Home,N,2,Guitar,0.75,2
2025-5-14,1430,Home,N,1,Bass,0.33,4
2025-5-17,1200,Home,N,1,Guitar,0.25,0
2025-5-18,1330,Studio,N,1,Drums,2.25,0
2025-5-19,1700,Home,N,2,Guitar,0.5,4
2025-5-21,2000,Home,N,2,Guitar,0.75,4
2025-5-22,1900,Home,Y,2,Bass,0.66,6
2025-5-23,1500,Home,Y,2,Bass,2.75,1
2025-5-25,1000,Home,N,0,Guitar,0.33,0
2025-5-26,1300,Home,Y,1,Bass,0.42,0
